district_clean,age_0_5,age_5_17,age_18_greater,total_enroll
Alipurduar,1521,1714,438,3673
Bankura,9083,2122,150,11355
Birbhum,13361,2041,107,15509
Cooch Behar,9489,4331,256,14076
Dakshin Dinajpur,5733,1140,99,6972
Darjeeling,4502,2768,775,8045
Hooghly,11311,3912,342,15565
Howrah,10084,4044,148,14276
Jalpaiguri,5674,4442,538,10654
Jhargram,741,171,50,962
Kalimpong,176,184,153,513
Kolkata,5028,4611,723,10362
Malda,11789,3957,84,15830
Murshidabad,31442,4383,86,35911
Nadia,13249,3624,843,17716
North 24 Parganas,1226,399,2,1627
Paschim Bardhaman,865,318,93,1276
Paschim Medinipur,14267,3699,150,18116
Purba Bardhaman,3870,818,131,4819
Purba Medinipur,12954,1310,58,14322
Purulia,539,243,1,783
South 24 Parganas,2978,1125,4,4107
Uttar Dinajpur,18660,8206,368,27234
